country_name,country_code,region
Luxembourg,LUX,Western Europe
Latvia,LVA,Northern Europe
"China, Macao Special Administrative Region",MAC,Eastern Asia
Saint Martin (French Part),MAF,Caribbean
Morocco,MAR,Northern Africa
Monaco,MCO,Western Europe
Republic of Moldova,MDA,Eastern Europe
Madagascar,MDG,Eastern Africa
Maldives,MDV,Southern Asia
Mexico,MEX,Central America
Marshall Islands,MHL,Micronesia
North Macedonia,MKD,Southern Europe
Mali,MLI,Western Africa
Malta,MLT,Southern Europe
Myanmar,MMR,South-eastern Asia
Montenegro,MNE,Southern Europe
Mongolia,MNG,Eastern Asia
Northern Mariana Islands,MNP,Micronesia
Mozambique,MOZ,Eastern Africa
Mauritania,MRT,Western Africa
Montserrat,MSR,Caribbean
Martinique,MTQ,Caribbean
Mauritius,MUS,Eastern Africa
Malawi,MWI,Eastern Africa
Malaysia,MYS,South-eastern Asia
Mayotte,MYT,Eastern Africa
Namibia,NAM,Southern Africa
New Caledonia,NCL,Melanesia
Niger,NER,Western Africa
Norfolk Island,NFK,Australia and New Zealand
Nigeria,NGA,Western Africa
Nicaragua,NIC,Central America
Niue,NIU,Polynesia
Netherlands (Kingdom of the),NLD,Western Europe
Norway,NOR,Northern Europe
Nepal,NPL,Southern Asia
Nauru,NRU,Micronesia
New Zealand,NZL,Australia and New Zealand
Oman,OMN,Western Asia
Pakistan,PAK,Southern Asia
Panama,PAN,Central America
Pitcairn,PCN,Polynesia
Peru,PER,South America
Philippines,PHL,South-eastern Asia
Palau,PLW,Micronesia
Papua New Guinea,PNG,Melanesia
Poland,POL,Eastern Europe
Puerto Rico,PRI,Caribbean
Democratic People's Republic of Korea,PRK,Eastern Asia
Portugal,PRT,Southern Europe
Paraguay,PRY,South America
State of Palestine,PSE,Western Asia
French Polynesia,PYF,Polynesia
Qatar,QAT,Western Asia
Réunion,REU,Eastern Africa
Romania,ROU,Eastern Europe
Russian Federation,RUS,Eastern Europe
Rwanda,RWA,Eastern Africa
Saudi Arabia,SAU,Western Asia
Sudan,SDN,Northern Africa
Senegal,SEN,Western Africa
Singapore,SGP,South-eastern Asia
South Georgia and the South Sandwich Islands,SGS,South America
Saint Helena,SHN,Western Africa
Svalbard and Jan Mayen Islands,SJM,Northern Europe
Solomon Islands,SLB,Melanesia
Sierra Leone,SLE,Western Africa
El Salvador,SLV,Central America
San Marino,SMR,Southern Europe
Somalia,SOM,Eastern Africa
Saint Pierre and Miquelon,SPM,Northern America
Serbia,SRB,Southern Europe
South Sudan,SSD,Eastern Africa
Sao Tome and Principe,STP,Middle Africa
Suriname,SUR,South America
Slovakia,SVK,Eastern Europe
Slovenia,SVN,Southern Europe
Sweden,SWE,Northern Europe
Eswatini,SWZ,Southern Africa
Sint Maarten (Dutch part),SXM,Caribbean
Seychelles,SYC,Eastern Africa
Syrian Arab Republic,SYR,Western Asia
Turks and Caicos Islands,TCA,Caribbean
Chad,TCD,Middle Africa
Togo,TGO,Western Africa
Thailand,THA,South-eastern Asia
Tajikistan,TJK,Central Asia
Tokelau,TKL,Polynesia
Turkmenistan,TKM,Central Asia
Timor-Leste,TLS,South-eastern Asia
Tonga,TON,Polynesia
Trinidad and Tobago,TTO,Caribbean
Tunisia,TUN,Northern Africa
Türkiye,TUR,Western Asia
Tuvalu,TUV,Polynesia
United Republic of Tanzania,TZA,Eastern Africa
Uganda,UGA,Eastern Africa
Ukraine,UKR,Eastern Europe
United States Minor Outlying Islands,UMI,Micronesia
Uruguay,URY,South America
United States of America,USA,Northern America
Uzbekistan,UZB,Central Asia
Holy See,VAT,Southern Europe
Saint Vincent and the Grenadines,VCT,Caribbean
Venezuela (Bolivarian Republic of),VEN,South America
British Virgin Islands,VGB,Caribbean
United States Virgin Islands,VIR,Caribbean
Viet Nam,VNM,South-eastern Asia
Vanuatu,VUT,Melanesia
Wallis and Futuna Islands,WLF,Polynesia
Samoa,WSM,Polynesia
Yemen,YEM,Western Asia
South Africa,ZAF,Southern Africa
Zambia,ZMB,Eastern Africa
Zimbabwe,ZWE,Eastern Africa
