country_name,country_code,region
Guam,GUM,Micronesia
Guatemala,GTM,Latin America and the Caribbean
Guernsey,GGY,Northern Europe
Guinea,GIN,Sub-Saharan Africa
Guinea-Bissau,GNB,Sub-Saharan Africa
Guyana,GUY,Latin America and the Caribbean
Haiti,HTI,Latin America and the Caribbean
Heard Island and McDonald Islands,HMD,Australia and New Zealand
Holy See,VAT,Southern Europe
Honduras,HND,Latin America and the Caribbean
Hong Kong,HKG,Eastern Asia
Hungary,HUN,Eastern Europe
Iceland,ISL,Northern Europe
India,IND,Southern Asia
Indonesia,IDN,South-eastern Asia
Islamic Republic of Iran,IRN,Southern Asia
Iraq,IRQ,Western Asia
Ireland,IRL,Northern Europe
Isle of Man,IMN,Northern Europe
Israel,ISR,Western Asia
Italy,ITA,Southern Europe
Jamaica,JAM,Latin America and the Caribbean
Japan,JPN,Eastern Asia
Jersey,JEY,Northern Europe
Jordan,JOR,Western Asia
Kazakhstan,KAZ,Central Asia
Kenya,KEN,Sub-Saharan Africa
Kiribati,KIR,Micronesia
Democratic People's Republic of Korea,PRK,Eastern Asia
Republic of Korea,KOR,Eastern Asia
Kuwait,KWT,Western Asia
Kyrgyzstan,KGZ,Central Asia
Lao People's Democratic Republic,LAO,South-eastern Asia
Latvia,LVA,Northern Europe
Lebanon,LBN,Western Asia
Lesotho,LSO,Sub-Saharan Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Northern Africa
Liechtenstein,LIE,Western Europe
Lithuania,LTU,Northern Europe
Luxembourg,LUX,Western Europe
Macao,MAC,Eastern Asia
Madagascar,MDG,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,South-eastern Asia
Maldives,MDV,Southern Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Southern Europe
Marshall Islands,MHL,Micronesia
Martinique,MTQ,Latin America and the Caribbean
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mayotte,MYT,Sub-Saharan Africa
Mexico,MEX,Latin America and the Caribbean
Federated States of Micronesia,FSM,Micronesia
Republic of Moldova,MDA,Eastern Europe
Monaco,MCO,Western Europe
Mongolia,MNG,Eastern Asia
Montenegro,MNE,Southern Europe
Montserrat,MSR,Latin America and the Caribbean
Morocco,MAR,Northern Africa
Mozambique,MOZ,Sub-Saharan Africa
Myanmar,MMR,South-eastern Asia
Namibia,NAM,Sub-Saharan Africa
Nauru,NRU,Micronesia
Nepal,NPL,Southern Asia
Kingdom of the Netherlands,NLD,Western Europe
New Caledonia,NCL,Melanesia
New Zealand,NZL,Australia and New Zealand
Nicaragua,NIC,Latin America and the Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Niue,NIU,Polynesia
Norfolk Island,NFK,Australia and New Zealand
North Macedonia,MKD,Southern Europe
Northern Mariana Islands,MNP,Micronesia
Norway,NOR,Northern Europe
Oman,OMN,Western Asia
Pakistan,PAK,Southern Asia
Palau,PLW,Micronesia
State of Palestine,PSE,Western Asia
Panama,PAN,Latin America and the Caribbean
Papua New Guinea,PNG,Melanesia
Paraguay,PRY,Latin America and the Caribbean
Peru,PER,Latin America and the Caribbean
Philippines,PHL,South-eastern Asia
Pitcairn,PCN,Polynesia
Poland,POL,Eastern Europe
Portugal,PRT,Southern Europe
Puerto Rico,PRI,Latin America and the Caribbean
Qatar,QAT,Western Asia
Réunion,REU,Sub-Saharan Africa
Romania,ROU,Eastern Europe
Russian Federation,RUS,Eastern Europe
Rwanda,RWA,Sub-Saharan Africa
Saint Barthélemy,BLM,Latin America and the Caribbean
"Saint Helena, Ascension and Tristan da Cunha",SHN,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,Latin America and the Caribbean
Saint Lucia,LCA,Latin America and the Caribbean
Saint Martin (French part),MAF,Latin America and the Caribbean
Saint Pierre and Miquelon,SPM,Northern America
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean
Samoa,WSM,Polynesia
San Marino,SMR,Southern Europe
Sao Tome and Principe,STP,Sub-Saharan Africa
Saudi Arabia,SAU,Western Asia
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Southern Europe
Seychelles,SYC,Sub-Saharan Africa
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,South-eastern Asia
Sint Maarten (Dutch part),SXM,Latin America and the Caribbean
Slovakia,SVK,Eastern Europe
Slovenia,SVN,Southern Europe
Solomon Islands,SLB,Melanesia
Somalia,SOM,Sub-Saharan Africa
South Africa,ZAF,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,SGS,Latin America and the Caribbean
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Southern Europe
Sri Lanka,LKA,Southern Asia
Sudan,SDN,Northern Africa
Suriname,SUR,Latin America and the Caribbean
Svalbard and Jan Mayen,SJM,Northern Europe
Sweden,SWE,Northern Europe
Switzerland,CHE,Western Europe
Syrian Arab Republic,SYR,Western Asia
Tajikistan,TJK,Central Asia
United Republic of Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,South-eastern Asia
Timor-Leste,TLS,South-eastern Asia
Togo,TGO,Sub-Saharan Africa
Tokelau,TKL,Polynesia
Tonga,TON,Polynesia
Trinidad and Tobago,TTO,Latin America and the Caribbean
Tunisia,TUN,Northern Africa
Türkiye,TUR,Western Asia
Turkmenistan,TKM,Central Asia
Turks and Caicos Islands,TCA,Latin America and the Caribbean
Tuvalu,TUV,Polynesia
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Eastern Europe
United Arab Emirates,ARE,Western Asia
United Kingdom of Great Britain and Northern Ireland,GBR,Northern Europe
United States of America,USA,Northern America
United States Minor Outlying Islands,UMI,Micronesia
Uruguay,URY,Latin America and the Caribbean
Uzbekistan,UZB,Central Asia
Vanuatu,VUT,Melanesia
Bolivarian Republic of Venezuela,VEN,Latin America and the Caribbean
Viet Nam,VNM,South-eastern Asia
Virgin Islands (British),VGB,Latin America and the Caribbean
Virgin Islands (U.S.),VIR,Latin America and the Caribbean
Wallis and Futuna,WLF,Polynesia
Western Sahara,ESH,Northern Africa
Yemen,YEM,Western Asia
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
